day,time,src_node,dst_node
0,1.003296,0,14
0,1.146672,0,14
0,1.533952,0,14
0,2.283105,0,14
0,1.003433,1,14
0,1.045153,1,14
0,1.747492,1,14
0,1.863370,1,14
0,1.943193,1,14
0,2.034025,1,14
0,1.013184,2,14
0,1.088168,2,14
0,1.129368,2,14
0,1.454024,2,14
0,1.819880,2,14
0,2.702795,2,14
0,1.011536,3,14
0,1.086966,3,14
0,1.102172,3,14
0,1.329620,3,14
0,1.565524,3,14
0,1.749397,3,14
0,1.947765,3,14
0,1.964036,3,14
0,1.974988,3,14
0,2.193222,3,14
0,1.000824,4,14
0,1.036561,4,14
0,1.083832,4,14
0,1.566348,4,14
0,1.782856,4,14
0,1.789457,4,14
0,2.016633,4,14
0,1.058366,5,14
0,1.280534,5,14
0,1.423392,5,14
0,1.868551,5,14
0,2.052949,5,14
0,1.041199,6,14
0,1.193803,6,14
0,1.218070,6,14
0,1.290028,6,14
0,1.488010,6,14
0,1.858377,6,14
0,2.845872,6,14
0,1.014832,7,14
0,1.714957,7,14
0,1.907223,7,14
0,2.209357,7,14
0,1.017304,8,14
0,1.028016,8,14
0,1.135960,8,14
0,1.983032,8,14
0,2.010224,8,14
0,2.437605,8,14
0,1.006592,9,14
0,1.077456,9,14
0,1.830592,9,14
0,2.198462,9,14
0,1.042023,10,14
0,2.917828,10,14
0,1.082400,11,14
0,9.542072,11,14
0,1.004944,12,14
0,1.364231,12,14
0,1.474407,12,14
0,1.567172,12,14
0,2.222481,12,14
0,1.000000,14,0
0,1.125158,14,0
0,1.161930,14,0
0,1.191784,14,0
0,1.232121,14,0
0,1.232945,14,0
0,1.250455,14,0
0,1.276615,14,0
0,1.452370,14,0
0,1.506827,14,0
0,1.569527,14,0
0,1.622216,14,0
0,1.680437,14,0
0,1.681261,14,0
0,1.733830,14,0
0,1.736875,14,0
0,1.772262,14,0
0,1.775026,14,0
0,1.956938,14,0
0,2.027017,14,0
0,1.000000,14,1
0,1.017166,14,1
0,1.054427,14,1
0,1.098485,14,1
0,1.150504,14,1
0,1.155616,14,1
0,1.288271,14,1
0,1.504032,14,1
0,1.558828,14,1
0,1.633912,14,1
0,1.677621,14,1
0,1.729157,14,1
0,1.732590,14,1
0,1.759450,14,1
0,2.051052,14,1
0,1.006866,14,2
0,1.170571,14,2
0,1.658818,14,2
0,1.662251,14,2
0,1.681322,14,2
0,2.102050,14,2
0,1.004120,14,3
0,1.013551,14,3
0,1.188240,14,3
0,1.230473,14,3
0,1.280874,14,3
0,1.384724,14,3
0,1.386557,14,3
0,1.417220,14,3
0,1.437324,14,3
0,1.544526,14,3
0,1.614427,14,3
0,1.687005,14,3
0,1.902065,14,3
0,1.908488,14,3
0,1.992283,14,3
0,2.092040,14,3
0,1.004944,14,4
0,1.009888,14,4
0,1.014722,14,4
0,1.019713,14,4
0,1.023719,14,4
0,1.025529,14,4
0,1.044941,14,4
0,1.058691,14,4
0,1.097046,14,4
0,1.113191,14,4
0,1.114335,14,4
0,1.115653,14,4
0,1.125982,14,4
0,1.133265,14,4
0,1.134089,14,4
0,1.157280,14,4
0,1.158933,14,4
0,1.168624,14,4
0,1.175587,14,4
0,1.181027,14,4
0,1.202185,14,4
0,1.203135,14,4
0,1.208061,14,4
0,1.210728,14,4
0,1.216977,14,4
0,1.234852,14,4
0,1.242716,14,4
0,1.245120,14,4
0,1.246559,14,4
0,1.247383,14,4
0,1.278347,14,4
0,1.291788,14,4
0,1.295416,14,4
0,1.308742,14,4
0,1.332108,14,4
0,1.346315,14,4
0,1.350164,14,4
0,1.356012,14,4
0,1.362362,14,4
0,1.363815,14,4
0,1.375716,14,4
0,1.382252,14,4
0,1.383076,14,4
0,1.383900,14,4
0,1.387605,14,4
0,1.401995,14,4
0,1.404304,14,4
0,1.413734,14,4
0,1.416396,14,4
0,1.436500,14,4
0,1.438972,14,4
0,1.439796,14,4
0,1.460745,14,4
0,1.461569,14,4
0,1.463217,14,4
0,1.492030,14,4
0,1.498964,14,4
0,1.510453,14,4
0,1.548574,14,4
0,1.558473,14,4
0,1.559297,14,4
0,1.567788,14,4
0,1.571251,14,4
0,1.585069,14,4
0,1.592238,14,4
0,1.594286,14,4
0,1.611955,14,4
0,1.612779,14,4
0,1.613603,14,4
0,1.615525,14,4
0,1.621392,14,4
0,1.623592,14,4
0,1.628297,14,4
0,1.635375,14,4
0,1.638250,14,4
0,1.641687,14,4
0,1.644525,14,4
0,1.648282,14,4
0,1.657959,14,4
0,1.666164,14,4
0,1.671259,14,4
0,1.672083,14,4
0,1.679613,14,4
0,1.691185,14,4
0,1.697220,14,4
0,1.700562,14,4
0,1.708170,14,4
0,1.710266,14,4
0,1.719369,14,4
0,1.725632,14,4
0,1.756467,14,4
0,1.757584,14,4
0,1.764392,14,4
0,1.768241,14,4
0,1.784544,14,4
0,1.785465,14,4
0,1.795496,14,4
0,1.808577,14,4
0,1.810420,14,4
0,1.811244,14,4
0,1.819346,14,4
0,1.824253,14,4
0,1.837153,14,4
0,1.857142,14,4
0,1.860344,14,4
0,1.861168,14,4
0,1.873422,14,4
0,1.875696,14,4
0,1.882533,14,4
0,1.892495,14,4
0,1.899475,14,4
0,1.906840,14,4
0,1.927885,14,4
0,1.935586,14,4
0,1.938916,14,4
0,1.939740,14,4
0,1.951116,14,4
0,1.961077,14,4
0,1.977616,14,4
0,1.984426,14,4
0,1.994668,14,4
0,2.008265,14,4
0,1.010299,14,5
0,1.086464,14,5
0,1.110642,14,5
0,1.115143,14,5
0,1.179497,14,5
0,1.183555,14,5
0,1.200338,14,5
0,1.221154,14,5
0,1.234584,14,5
0,1.246270,14,5
0,1.377900,14,5
0,1.406902,14,5
0,1.601324,14,5
0,1.638414,14,5
0,1.708948,14,5
0,1.772941,14,5
0,1.804403,14,5
0,1.828295,14,5
0,1.893531,14,5
0,1.913396,14,5
0,1.938297,14,5
0,1.949287,14,5
0,1.978904,14,5
0,1.982337,14,5
0,2.024886,14,5
0,1.013733,14,6
0,1.061946,14,6
0,1.121580,14,6
0,1.194077,14,6
0,1.208254,14,6
0,1.225920,14,6
0,1.381333,14,6
0,1.452603,14,6
0,1.481060,14,6
0,1.513196,14,6
0,1.653376,14,6
0,1.712382,14,6
0,1.778993,14,6
0,1.787063,14,6
0,1.903881,14,6
0,1.945854,14,6
0,1.960415,14,6
0,2.115008,14,6
0,1.000824,14,7
0,1.102518,14,7
0,1.158104,14,7
0,1.203959,14,7
0,1.248207,14,7
0,1.288606,14,7
0,1.390213,14,7
0,1.458971,14,7
0,1.459921,14,7
0,1.557084,14,7
0,1.566653,14,7
0,1.597145,14,7
0,1.822605,14,7
0,1.907664,14,7
0,1.942697,14,7
0,2.002695,14,7
0,1.001648,14,8
0,1.077752,14,8
0,1.402819,14,8
0,1.423428,14,8
0,1.526256,14,8
0,1.552211,14,8
0,1.982492,14,8
0,2.217924,14,8
0,1.002472,14,9
0,1.073577,14,9
0,1.127253,14,9
0,1.284188,14,9
0,1.285115,14,9
0,1.298717,14,9
0,1.396191,14,9
0,1.447979,14,9
0,1.462393,14,9
0,1.683948,14,9
0,1.721912,14,9
0,1.738996,14,9
0,1.745473,14,9
0,1.752860,14,9
0,1.800881,14,9
0,1.968466,14,9
0,2.007441,14,9
0,1.005768,14,10
0,4.290200,14,10
0,1.000000,14,11
0,1.412000,14,11
0,1.675687,14,11
0,1.840487,14,11
0,2.272809,14,11
0,1.006592,14,12
0,1.109997,14,12
0,1.120862,14,12
0,1.134996,14,12
0,1.141544,14,12
0,1.367507,14,12
0,1.420526,14,12
0,1.421350,14,12
0,1.435565,14,12
0,1.516849,14,12
0,1.593313,14,12
0,1.602629,14,12
0,1.664391,14,12
0,1.683001,14,12
0,1.761324,14,12
0,1.827279,14,12
0,1.870261,14,12
0,2.013535,14,12
0,1.003433,14,13
0,2.256077,14,13
0,1.000000,14,15
0,2.466787,14,15
0,1.007416,14,16
0,1.130914,14,16
0,1.208885,14,16
0,1.236345,14,16
0,1.270090,14,16
0,1.289430,14,16
0,1.294592,14,16
0,1.307918,14,16
0,1.418044,14,16
0,1.434459,14,16
0,1.447155,14,16
0,1.450525,14,16
0,1.481248,14,16
0,1.494365,14,16
0,1.529748,14,16
0,1.533969,14,16
0,1.545439,14,16
0,1.646603,14,16
0,1.670435,14,16
0,1.689860,14,16
0,1.803734,14,16
0,1.850255,14,16
0,1.896653,14,16
0,1.911240,14,16
0,1.918979,14,16
0,1.976792,14,16
