0.013273,0.382422,0.136485
0.019972,-0.000000,-0.000000
0.258220,-0.000000,-0.000000
0.013960,-0.000000,0.051069
0.044902,0.209489,-0.000000
0.008072,0.124509,0.103940
0.009957,0.062760,0.066280
0.056063,-0.000000,0.111863
0.065678,-0.000000,-0.000000
0.147121,-0.000000,-0.000000
0.016530,-0.000000,0.027095
0.025475,-0.000000,0.049666
0.015234,-0.000000,0.058869
0.013341,-0.000000,0.049734
0.021550,-0.000000,0.056918
0.038478,-0.000000,0.076069
0.017793,-0.000000,0.028223
0.031223,-0.000000,-0.000000
0.046309,0.093205,0.117632
0.108760,-0.000000,0.043916
0.003895,0.051141,0.022241
0.024194,0.076474,-0.000000
