day,time,src_node,dst_node
0,1.004944,0,2
0,1.105691,0,2
0,1.239543,0,2
0,1.323389,0,2
0,1.390346,0,2
0,1.419719,0,2
0,1.463673,0,2
0,1.474219,0,2
0,1.493503,0,2
0,1.512945,0,2
0,1.585091,0,2
0,1.621907,0,2
0,1.733479,0,2
0,1.757126,0,2
0,1.790581,0,2
0,1.796670,0,2
0,1.829299,0,2
0,1.852082,0,2
0,1.937790,0,2
0,2.020590,0,2
0,1.038590,1,2
0,7.072500,1,2
0,1.000000,2,0
0,1.073336,2,0
0,1.103000,2,0
0,1.136761,2,0
0,1.278575,2,0
0,1.455565,2,0
0,1.569973,2,0
0,1.601406,2,0
0,1.685902,2,0
0,1.688374,2,0
0,1.753183,2,0
0,2.267241,2,0
0,1.000000,2,1
0,1.119214,2,1
0,1.127341,2,1
0,1.321334,2,1
0,1.798594,2,1
0,3.261862,2,1
0,1.008240,2,3
0,2.093891,2,3
0,1.000824,2,4
0,1.114536,2,4
0,1.135937,2,4
0,1.174240,2,4
0,1.330755,2,4
0,1.363883,2,4
0,1.567270,2,4
0,1.625141,2,4
0,1.659378,2,4
0,1.661026,2,4
0,1.965211,2,4
0,1.966035,2,4
0,2.009395,2,4
0,1.004944,2,5
0,1.009064,2,5
0,1.035952,2,5
0,1.115482,2,5
0,1.146597,2,5
0,1.253704,2,5
0,1.282910,2,5
0,1.357482,2,5
0,1.389653,2,5
0,1.464014,2,5
0,1.556342,2,5
0,1.621190,2,5
0,1.676873,2,5
0,1.700851,2,5
0,1.747069,2,5
0,1.775708,2,5
0,1.776532,2,5
0,1.804309,2,5
0,1.817638,2,5
0,1.829202,2,5
0,1.871476,2,5
0,1.874525,2,5
0,1.947423,2,5
0,1.957883,2,5
0,2.046410,2,5
0,1.005768,2,6
0,1.049483,2,6
0,1.121979,2,6
0,1.135585,2,6
0,1.379732,2,6
0,1.475665,2,6
0,1.523730,2,6
0,1.579802,2,6
0,1.746245,2,6
0,1.755679,2,6
0,1.850866,2,6
0,1.956501,2,6
0,1.982024,2,6
0,2.056469,2,6
0,1.000000,2,7
0,1.297786,2,7
0,1.479200,2,7
0,1.794871,2,7
0,1.948599,2,7
0,1.967799,2,7
0,2.007528,2,7
0,1.001648,2,8
0,1.011536,2,8
0,1.017304,2,8
0,1.018128,2,8
0,1.025544,2,8
0,1.026368,2,8
0,1.032960,2,8
0,1.035432,2,8
0,1.044496,2,8
0,1.046968,2,8
0,1.051912,2,8
0,1.055208,2,8
0,1.058504,2,8
0,1.059328,2,8
0,1.080752,2,8
0,1.082400,2,8
0,1.086520,2,8
0,1.098056,2,8
0,1.098880,2,8
0,1.117823,2,8
0,1.130993,2,8
0,1.141705,2,8
0,1.142529,2,8
0,1.152121,2,8
0,1.153854,2,8
0,1.154752,2,8
0,1.160650,2,8
0,1.162986,2,8
0,1.212954,2,8
0,1.215426,2,8
0,1.220800,2,8
0,1.224217,2,8
0,1.234233,2,8
0,1.240105,2,8
0,1.242577,2,8
0,1.243401,2,8
0,1.251641,2,8
0,1.254937,2,8
0,1.257539,2,8
0,1.260830,2,8
0,1.261654,2,8
0,1.286471,2,8
0,1.291132,2,8
0,1.296966,2,8
0,1.311867,2,8
0,1.326997,2,8
0,1.334224,2,8
0,1.336696,2,8
0,1.338344,2,8
0,1.339168,2,8
0,1.351383,2,8
0,1.353984,2,8
0,1.356456,2,8
0,1.357280,2,8
0,1.366085,2,8
0,1.374711,2,8
0,1.386045,2,8
0,1.400459,2,8
0,1.403931,2,8
0,1.408875,2,8
0,1.416158,2,8
0,1.427061,2,8
0,1.428709,2,8
0,1.436949,2,8
0,1.466595,2,8
0,1.467419,2,8
0,1.475477,2,8
0,1.477515,2,8
0,1.478339,2,8
0,1.480444,2,8
0,1.488426,2,8
0,1.491260,2,8
0,1.493732,2,8
0,1.494720,2,8
0,1.498621,2,8
0,1.504047,2,8
0,1.504871,2,8
0,1.511463,2,8
0,1.520195,2,8
0,1.522155,2,8
0,1.528500,2,8
0,1.553808,2,8
0,1.557861,2,8
0,1.560333,2,8
0,1.563465,2,8
0,1.581151,2,8
0,1.585421,2,8
0,1.593450,2,8
0,1.594274,2,8
0,1.595098,2,8
0,1.602230,2,8
0,1.614738,2,8
0,1.617524,2,8
0,1.618348,2,8
0,1.619172,2,8
0,1.619996,2,8
0,1.623376,2,8
0,1.631183,2,8
0,1.646242,2,8
0,1.654257,2,8
0,1.670125,2,8
0,1.671268,2,8
0,1.672486,2,8
0,1.676634,2,8
0,1.683204,2,8
0,1.684028,2,8
0,1.690022,2,8
0,1.690846,2,8
0,1.691670,2,8
0,1.696614,2,8
0,1.705280,2,8
0,1.717000,2,8
0,1.730471,2,8
0,1.746554,2,8
0,1.752359,2,8
0,1.773473,2,8
0,1.790418,2,8
0,1.791242,2,8
0,1.798658,2,8
0,1.803722,2,8
0,1.805370,2,8
0,1.807842,2,8
0,1.809490,2,8
0,1.813610,2,8
0,1.824875,2,8
0,1.855253,2,8
0,1.859623,2,8
0,1.864031,2,8
0,1.865417,2,8
0,1.866241,2,8
0,1.867889,2,8
0,1.874766,2,8
0,1.888327,2,8
0,1.889151,2,8
0,1.892337,2,8
0,1.903260,2,8
0,1.904908,2,8
0,1.919389,2,8
0,1.926501,2,8
0,1.931824,2,8
0,1.953661,2,8
0,1.956133,2,8
0,1.960253,2,8
0,1.961091,2,8
0,1.961915,2,8
0,1.964387,2,8
0,1.970831,2,8
0,1.976836,2,8
0,1.981095,2,8
0,1.989395,2,8
0,1.995624,2,8
0,2.007924,2,8
0,1.002472,2,9
0,1.009064,2,9
0,1.012360,2,9
0,1.014832,2,9
0,1.015656,2,9
0,1.016480,2,9
0,1.018952,2,9
0,1.019776,2,9
0,1.022248,2,9
0,1.023072,2,9
0,1.028016,2,9
0,1.028840,2,9
0,1.029664,2,9
0,1.032136,2,9
0,1.033784,2,9
0,1.036256,2,9
0,1.042848,2,9
0,1.046144,2,9
0,1.047792,2,9
0,1.048616,2,9
0,1.049440,2,9
0,1.050264,2,9
0,1.052736,2,9
0,1.053560,2,9
0,1.056032,2,9
0,1.056856,2,9
0,1.057680,2,9
0,1.062624,2,9
0,1.063448,2,9
0,1.064272,2,9
0,1.065096,2,9
0,1.074984,2,9
0,1.081576,2,9
0,1.083224,2,9
0,1.085696,2,9
0,1.087344,2,9
0,1.088168,2,9
0,1.092288,2,9
0,1.105472,2,9
0,1.107120,2,9
0,1.112888,2,9
0,1.113712,2,9
0,1.118647,2,9
0,1.121119,2,9
0,1.127697,2,9
0,1.128521,2,9
0,1.130169,2,9
0,1.132641,2,9
0,1.133465,2,9
0,1.135113,2,9
0,1.138409,2,9
0,1.139233,2,9
0,1.144177,2,9
0,1.145001,2,9
0,1.161474,2,9
0,1.166129,2,9
0,1.167405,2,9
0,1.175064,2,9
0,1.180942,2,9
0,1.184294,2,9
0,1.188457,2,9
0,1.190393,2,9
0,1.191552,2,9
0,1.197405,2,9
0,1.202299,2,9
0,1.204448,2,9
0,1.207109,2,9
0,1.207933,2,9
0,1.208757,2,9
0,1.209581,2,9
0,1.217628,2,9
0,1.228603,2,9
0,1.230579,2,9
0,1.236809,2,9
0,1.241753,2,9
0,1.245049,2,9
0,1.246697,2,9
0,1.247521,2,9
0,1.249993,2,9
0,1.267683,2,9
0,1.269909,2,9
0,1.276701,2,9
0,1.287295,2,9
0,1.302318,2,9
0,1.303358,2,9
0,1.305480,2,9
0,1.307952,2,9
0,1.314435,2,9
0,1.320583,2,9
0,1.321407,2,9
0,1.324803,2,9
0,1.342485,2,9
0,1.346896,2,9
0,1.348544,2,9
0,1.353160,2,9
0,1.354808,2,9
0,1.355632,2,9
0,1.358104,2,9
0,1.359752,2,9
0,1.367760,2,9
0,1.369408,2,9
0,1.370232,2,9
0,1.375535,2,9
0,1.380479,2,9
0,1.384397,2,9
0,1.388918,2,9
0,1.392505,2,9
0,1.395339,2,9
0,1.402024,2,9
0,1.404755,2,9
