2.725832,-0.000000,-0.000000,0.334766,2.929576
0.040037,0.087467,0.091554,0.150056,-0.000000
0.162940,0.048161,0.057241,7.118707,-0.000000
0.025247,0.078215,0.045758,0.253045,0.025657
4.191162,-0.000000,4.285045,-0.000000,-0.000000
0.000000,-0.000000,2.704928,-0.000000,0.000000
0.000000,-0.000000,1.436822,-0.000000,0.042900
0.000000,4.456117,0.295053,3.262203,0.153561
0.019896,4.400852,-0.000000,-0.000000,5.511933
0.957808,5.473423,-0.000000,-0.000000,-0.000000
0.007415,0.140685,0.014938,0.212732,0.015205
0.017209,0.801974,-0.000000,-0.000000,-0.000000
0.017062,0.268126,0.122003,0.364153,0.021832
0.000000,0.029545,0.068997,0.225284,0.000000
0.137405,0.352880,0.176185,1.235660,0.122926
0.000000,0.904606,0.970208,-0.000000,0.178865
0.041057,0.059012,0.046222,0.210384,0.071915
0.339179,-0.000000,0.358376,0.860580,0.078631
0.182133,4.218787,1.036926,-0.000000,-0.000000
0.080880,5.515161,-0.000000,-0.000000,0.928656
0.010771,0.039843,0.016704,0.071105,0.068163
0.210436,0.967723,1.127098,-0.000000,0.001580
