0.262103,-0.000000,-0.000000,0.464850
0.010932,0.028685,-0.000000,-0.000000
0.017695,0.409638,-0.000000,-0.000000
0.008131,0.008787,0.049498,-0.000000
0.161549,-0.000000,-0.000000,-0.000000
0.178648,-0.000000,0.065912,-0.000000
0.080062,-0.000000,0.051811,-0.000000
0.002594,0.046691,0.143913,-0.000000
0.000000,0.061720,0.061174,0.117966
0.000000,0.147940,0.102413,0.158975
0.009621,0.025655,-0.000000,-0.000000
0.000000,0.022268,0.056262,0.058285
0.024112,-0.000000,0.063167,-0.000000
0.005680,0.012092,0.048210,-0.000000
0.012568,0.023923,0.059900,-0.000000
0.029860,0.032355,0.069433,-0.000000
0.010561,0.026899,-0.000000,-0.000000
0.022596,0.044314,-0.000000,-0.000000
0.101723,-0.000000,0.130182,-0.000000
0.000000,0.109033,0.098124,0.117403
0.015369,-0.000000,-0.000000,0.082522
0.046196,-0.000000,-0.000000,-0.000000
