day,time,src_node,dst_node
5,2.977600,2,13
5,3.060000,2,13
5,3.142400,2,13
5,3.224800,2,13
5,3.307200,2,13
5,3.472000,2,13
5,3.554400,2,13
5,3.884000,2,13
5,1.412000,3,13
5,4.213600,3,13
5,1.247200,4,13
5,4.131200,4,13
5,1.082400,6,13
5,4.543200,6,13
5,1.659200,7,13
5,3.966400,7,13
5,4.296000,7,13
5,4.378400,7,13
5,1.000000,13,4
5,2.054967,13,4
5,2.219767,13,4
5,1.082400,13,6
5,4.576622,13,6
5,1.164800,13,15
5,2.765852,13,15
5,1.247200,13,18
5,1.508793,13,18
5,1.642967,13,18
5,1.725367,13,18
5,1.807767,13,18
5,1.890167,13,18
5,2.137367,13,18
5,1.329600,13,21
5,1.412000,13,21
5,1.972567,13,21
5,2.914794,13,21
5,1.164800,14,13
5,8.482577,14,13
5,1.576800,15,13
5,4.460800,15,13
5,1.329600,21,13
5,1.494400,21,13
5,1.824000,21,13
5,1.906400,21,13
5,2.071200,21,13
5,2.153600,21,13
5,2.318400,21,13
5,2.565600,21,13
5,2.648000,21,13
5,2.895200,21,13
5,3.389600,21,13
5,3.636800,21,13
5,3.719200,21,13
5,3.801600,21,13
5,4.048800,21,13
6,1.082400,1,13
6,8.143531,1,13
6,1.164800,2,13
6,1.576800,2,13
6,1.659200,2,13
6,1.824000,2,13
6,1.906400,2,13
6,1.988800,2,13
6,2.071200,2,13
6,2.153600,2,13
6,2.483200,2,13
6,2.565600,2,13
6,2.648000,2,13
6,2.730400,2,13
6,2.895200,2,13
6,3.060000,2,13
6,3.307200,2,13
6,1.247200,4,13
6,2.977600,4,13
6,4.088192,4,13
6,1.082400,6,13
6,3.943954,6,13
6,1.000000,13,4
6,2.071200,13,4
6,2.153600,13,4
6,2.318400,13,4
6,2.648000,13,4
6,1.082400,13,6
6,16.890362,13,6
6,1.164800,13,15
6,1.659200,13,15
6,2.730400,13,15
6,1.247200,13,18
6,1.412000,13,18
6,1.494400,13,18
6,1.576800,13,18
6,1.741600,13,18
6,1.824000,13,18
6,1.906400,13,18
6,1.988800,13,18
6,2.236000,13,18
6,2.400800,13,18
6,2.483200,13,18
6,2.565600,13,18
6,1.329600,13,21
6,2.812800,13,21
6,1.164800,14,13
6,5.092046,14,13
6,1.412000,15,13
6,1.494400,15,13
6,8.530298,15,13
6,1.329600,21,13
6,1.741600,21,13
6,2.236000,21,13
6,2.318400,21,13
6,2.400800,21,13
6,2.812800,21,13
6,3.142400,21,13
6,3.224800,21,13
6,3.389600,21,13
7,1.412000,0,13
7,8.711697,0,13
7,1.082400,1,13
7,5.789820,1,13
7,1.164800,2,13
7,1.659200,2,13
7,1.741600,2,13
7,1.906400,2,13
7,1.988800,2,13
7,2.153600,2,13
7,2.236000,2,13
7,2.318400,2,13
7,2.400800,2,13
7,2.483200,2,13
7,2.730400,2,13
7,2.895200,2,13
7,2.977600,2,13
7,3.060000,2,13
7,3.142400,2,13
7,3.307200,2,13
7,3.554400,2,13
7,1.247200,4,13
7,4.209379,4,13
7,1.082400,6,13
7,7.599482,6,13
7,1.494400,9,13
7,11.140209,9,13
7,1.000000,13,2
7,3.479989,13,2
7,1.082400,13,4
7,1.741600,13,4
7,3.142400,13,4
7,1.164800,13,6
7,22.270236,13,6
7,1.247200,13,15
7,2.400800,13,15
7,3.060000,13,15
7,1.329600,13,18
7,1.576800,13,18
7,1.659200,13,18
7,1.824000,13,18
7,1.906400,13,18
7,1.988800,13,18
7,2.071200,13,18
7,2.153600,13,18
7,2.483200,13,18
